Strain (um/um),UnIR_45deg_5nmps_tst1,UnIR_45deg_5nmps_tst2,UnIR_45deg_500nmps_tst3,UnIR_45deg_500nmps_tst4
0.668,84.851278,111.2908525,161.5755665,62.168305
0.67,80.0432731,111.9991952,161.1771016,63.0572703
0.672,79.0142406,111.8829001,161.1771016,62.9189868
0.674,81.4972644,111.3296175,161.3980326,61.8522285
0.676,79.161747,111.8053701,162.1870722,60.6373093
0.678,77.598882,108.7570298,161.7609908,59.1557005
0.68,76.5838977,109.6838662,160.3525553,57.6938465
0.682,76.0114326,105.4373343,160.4432948,56.6073333
0.684,75.3687263,104.5422147,160.7312943,55.4566172
0.686,75.3968227,103.8479684,161.2796767,54.0836597
0.688,67.7651246,101.2119469,161.3901422,52.3452387
0.69,66.35679,99.1433044,161.7964976,50.7994269
0.692,66.3497659,97.4270712,163.0510704,50.0289903
0.694,66.3708383,93.3250271,163.0510704,49.4956111
0.696,60.4530235,90.2203013,161.1731564,48.3202015
0.698,60.797205,89.258224,161.2165536,46.7250027
0.7,58.4054948,88.0776529,162.163401,45.2829034
0.702,58.7005075,84.9235897,161.8675112,43.3963216
0.704,58.3282295,83.6760609,161.0903072,40.5763262
0.706,56.5335688,83.2461215,161.2875671,37.6081699
0.708,54.1980514,82.0761227,160.9206637,35.3067376
0.71,52.8810304,81.21272,160.565596,32.7682478
0.712,48.9966962,79.3942881,160.7036779,29.7655207
0.714,48.3258934,72.2368555,159.3031327,29.7655207
0.716,45.5267846,70.2880321,158.8849418,26.2738626
0.718,41.0629612,68.4696002,159.5358994,21.848791
0.72,39.7494522,65.5128863,158.3049977,14.8062105
0.722,39.8899344,62.3271063,153.3537748,14.8062105
0.724,38.7098835,60.4487648,153.3537748,7.1660478
0.726,38.0039602,57.6929242,150.0674252,3.1854589
0.728,35.299677,56.7132264,155.7721809,1.4865474
0.73,33.0414248,55.4375048,157.9736012,0.632153
0.732,31.2011074,54.3591324,158.230039,0.2864443
0.734,31.0184804,53.6966029,158.2931622,0
0.736,29.8349175,52.4631704,160.2026378,
0.738,28.7707645,51.3389848,160.9167185,
0.74,26.8426456,49.2245291,161.8714564,
0.742,25.5818174,47.0149229,162.3369897,
0.744,24.0084162,44.8264612,159.9461999,
0.746,23.1620107,43.5613119,158.5219836,
0.748,22.2242917,42.4124576,159.3899271,
0.75,20.8370295,40.0548395,155.0620453,
0.752,18.7368199,37.4505348,146.0354333,
0.754,17.5005761,35.3924646,137.8925455,
0.756,16.0360486,31.9388536,130.7043955,
0.758,14.2238276,28.7636459,130.8030255,
0.76,12.9068066,26.8394912,131.4658187,
0.762,11.8321174,23.6501872,132.9571033,
0.764,10.7117714,21.366575,134.566744,
0.766,9.8829262,19.2591675,137.0482732,
0.768,8.997888,16.9861276,137.6400529,
0.77,8.0671931,13.6135707,138.4567088,
0.772,7.4701436,11.0092661,140.0702946,
0.774,6.8344614,9.1379728,140.5476635,
0.776,6.5991536,6.9354148,140.5476635,
0.778,5.8581098,4.7469531,133.1425276,
0.78,5.4050545,4.1760501,129.9232464,
0.782,5.3699339,3.1998763,134.8389626,
0.784,,2.7170756,135.6240569,
0.786,,2.4281,135.6240569,
0.788,,1.7867151,132.9334322,
0.79,,1.1347579,130.5820944,
0.792,,0.8281618,130.4203413,
0.794,,,129.035577,
0.796,,,129.035577,
0.798,,,129.035577,
0.8,,,129.035577,
0.802,,,120.9637027,
0.804,,,118.2020644,
0.806,,,115.0103996,
0.808,,,113.4836081,
0.81,,,113.4836081,
0.812,,,110.5523263,
0.814,,,106.2165542,
0.816,,,103.8888876,
0.818,,,103.8888876,
0.82,,,99.6320195,
0.822,,,95.3514801,
0.824,,,95.3514801,
0.826,,,93.473566,
0.828,,,91.1103927,
0.83,,,89.9820662,
0.832,,,87.6346736,
0.834,,,85.1491992,
0.836,,,85.1491992,
0.838,,,82.6676699,
0.84,,,78.7224723,
0.842,,,78.7224723,
0.844,,,75.2506985,
0.846,,,72.425937,
0.848,,,71.0253919,
0.85,,,67.3484677,
0.852,,,67.3484677,
0.854,,,63.8254063,
0.856,,,60.1563725,
0.858,,,60.1563725,
0.86,,,48.7981487,
0.862,,,39.9806322,
0.864,,,39.5150988,
0.866,,,39.5269344,
0.868,,,39.7715367,
0.87,,,39.3060034,
0.872,,,38.3315396,
0.874,,,38.3315396,
0.876,,,37.2308295,
0.878,,,35.8145035,
0.88,,,32.9739613,
0.882,,,30.0781863,
0.884,,,30.0781863,
0.886,,,27.975396,
0.888,,,27.0127677,
0.89,,,26.0422491,
0.892,,,24.5312385,
0.894,,,23.3003368,
0.896,,,21.3987516,
0.898,,,21.3987516,
0.9,,,18.6213325,
0.902,,,16.5816654,
0.904,,,14.956244,
0.906,,,13.9502186,
0.908,,,13.4610141,
0.91,,,13.0941107,
0.912,,,12.6680294,
0.914,,,11.9342226,
0.916,,,11.9342226,
0.918,,,11.3661142,
0.92,,,10.8650741,
0.922,,,10.1154865,
0.924,,,9.2869951,
0.926,,,8.7386126,
0.928,,,8.3204216,
0.93,,,7.9890251,
0.932,,,7.4327522,
0.934,,,6.769959,
0.936,,,6.3675488,
0.938,,,5.9454127,
0.94,,,5.112976,
0.942,,,5.112976,
0.944,,,4.552758,
0.946,,,4.0477727,
0.948,,,3.6493077,
0.95,,,3.3928699,
0.952,,,3.1009253,
0.954,,,2.7340219,
0.956,,,2.4894196,
0.958,,,2.2882146,
0.96,,,1.8502976,
0.962,,,1.0730937,
0.964,,,0.6154508,
0.966,,,0.3629581,
0.968,,,0.0710135,
0.97,,,,
